"latitude","longitude","name","country","refcode"
25.29,53.08,"Abu al Bukhoosh","AE","ABU"
25.52,55.01,"Abu Musa","AE","AMU"
25.32,55.33,"Ahmed Bin Rashid Port","AE","ARP"
25.43,55.48,"Al Jazeera Port","AE","JAZ"
26.02,56.03,"Al Jeer Port","AE","AJP"
24.07,52.44,"Ar Ruways","AE","RUW"
25.37,56.16,"Dibba","AE","DBP"
25.15,55.15,"Free Port","AE","FRP"
25.18,55.19,"Hamriya Free Zone Port","AE","HZP"
24.54,54.54,"Hassyan","AE","HSN"
25,55.03,"Jebel Ali Free Zone","AE","QWE"
25.04,56.21,"Kalba","AE","KLB"
25.2,56.21,"Khor al Fakkan","AE","KLF"
25.21,55.22,"Mina Khalid","AE","MKH"
24.5,54.4,"Mina Khalifa/Abu Dhabi","AE","KHL"
25.16,55.17,"Mina Rashid Port","AE","MRP"
24.31,54.22,"Mina Zayed/Abu Dhabi","AE","MZD"
24.23,54.29,"Mussafah","AE","AMF"
25.49,55.57,"Rak Khor Port","AE","RKP"
25.57,56.03,"Rak Maritime City","AE","RMC"
24.06,52.43,"Ruwais Port","AE","RWP"
24.19,52.36,"Yas Island","AE","YAS"
24.53,53.04,"Zirku Island","AE","ZUR"
36.39,66.59,"Dehdadi","AF","DHD"
32.06,66.53,"Qalat","AF","QLT"
34.53,71.55,"Torkham","AF","RKH"
17.01,-61.47,"Falmouth","AG","FAM"
17.05,-61.45,"Parham","AG","PHM"
18.1,-63.08,"Meads Bay Beach","AI","MBB"
41.22,19.25,"Romano Port","AL","ROM"
39.53,20,"Sarande","AL","SAR"
41.48,19.34,"Shengjin","AL","SHG"
40.28,19.29,"Vlore","AL","VOA"
-16.36,11.44,"Baia dos Tigres","AO","BDT"
-7.32,12.1,"Gimboa","AO","GIM"
-7.38,11.41,"Girassol Terminal","AO","GIR"
-7.5,12.07,"Greater Plutonio","AO","GPO"
-5.51,13.26,"Noqui","AO","NQI"
-73.03,-13.25,"Aboa","AQ","ABA"
-62.09,-58.28,"Arctowski","AQ","ARC"
-62.11,-58.54,"Artigas","AQ","ART"
-62.3,-59.41,"Arturo Prat","AQ","APT"
-62.11,-58.57,"Bellingshausen","AQ","BHN"
-66.17,110.31,"Casey Station","AQ","CAS"
-62.05,-58.23,"Comandante Ferraz","AQ","CFZ"
-68.34,77.58,"Davis Station","AQ","DAV"
-66.39,140,"Dumont d'Urville Station","AQ","DDU"
-62.12,-58.57,"Escudero","AQ","ESC"
-63.23,-56.59,"Esperanza","AQ","ESP"
-63.19,-57.54,"General Bernardo O'higgins","AQ","OHG"
-62.13,-58.58,"Great Wall","AQ","GWL"
-75.34,-26.32,"Halley","AQ","HLY"
-74.36,164.12,"Jang Bogo Station","AQ","JBS"
-62.39,-60.23,"Juan Carlos Primero","AQ","JCP"
-62.14,-58.39,"Jubany","AQ","JUB"
-62.13,-58.47,"King Sejong","AQ","KSG"
-75,0.04,"Kohnen","AQ","KHN"
-69.23,76.23,"Law Base","AQ","LAW"
-64.14,-56.39,"Marambio","AQ","MRB"
-74.41,164.07,"Mario Zucchelli","AQ","MZU"
-67.36,62.52,"Mawson Station","AQ","MAW"
-77.5,166.4,"McMurdo","AQ","MCM"
-66.33,93,"Mirny","AQ","MIR"
-60.44,-44.44,"Orcadas","AQ","ORC"
-64.46,-64.03,"Palmer","AQ","PLM"
-63,-60.34,"Port Foster","AQ","PFS"
-69.24,76.23,"Progress","AQ","PRO"
-67.34,-68.07,"Rothera","AQ","ROT"
-68.07,-67.06,"San Martin","AQ","SMT"
-60.43,-45.36,"Signy","AQ","SGN"
-69,39.35,"Syowa","AQ","SYW"
-65.14,-64.15,"Vernadsky","AQ","VKY"
-73.03,-13.25,"Wasa","AQ","WSA"
-69.22,76.23,"Zhongshan","AQ","ZGN"
-33.07,-68.53,"Agrelo","AR","GEO"
-34.05,-60.07,"Arrecifes","AR","ACF"
-29.1,-67.3,"Chilecito","AR","CHO"
-31.29,-68.32,"Chimbas","AR","CBS"
-32.58,-68.45,"Coquimbito","AR","IQO"
-34.39,-58.2,"Dock Sur","AR","DSU"
-33.21,-60.08,"Ingeniero Buitrago","AR","BUI"
-38.47,-62.16,"Ingeniero White/Bahia Blanca","AR","INW"
-33.28,-67.33,"La Paz","AR","LPM"
-34.01,-59.07,"Las Palmas","AR","LPS"
-28.12,-65.08,"Lavalle","AR","LAV"
-34.34,-59.06,"Lujan","AR","LUJ"
-33.03,-68.52,"Lujan de Cuyo","AR","LCU"
-32.57,-68.49,"Luzuriaga","AR","LZG"
-25.25,-66.19,"Molinos","AR","NOS"
-36.53,-60.2,"Olavarria","AR","OVI"
-34.36,-58.31,"Pablo Podesta","AR","PP9"
-41.42,-65,"Punta Colorada","AR","PCO"
-32.39,-60.43,"Quebracho/San Lorenzo","AR","QBR"
-43.18,-65.06,"Rawson","AR","RWO"
-33.11,-68.28,"Rivadavia","AR","RIV"
-25.48,-64.58,"Rosario de la Frontera","AR","RFO"
-33.46,-69.02,"San Carlos","AR","SCA"
-33.04,-68.28,"San Martin","AR","SMR"
-33.41,-59.1,"San Pedro","AR","SPD"
-24.11,-65.18,"San Salvador de Jujuy","AR","SSJ"
-33.15,-68.09,"Santa Rosa","AR","STA"
-33.34,-69.01,"Tunuyan","AR","TUN"
-34.31,-58.29,"Vicente Lopez","AR","VLO"
48.23,15.51,"Altenworth","AT","AWH"
48.13,14.24,"Asten","AT","ATN"
48.41,16.52,"Bernhardsthal","AT","SXA"
47.25,13.13,"Bischofshofen","AT","BFS"
47.59,14.45,"Bohlerwenk","AT","BOE"
47.3,9.46,"Bregenz","AT","BRZ"
48.18,16.34,"Deutsch Wagram","AT","DWA"
47.36,16.38,"Deutschkreutz","AT","DKZ"
48.36,16.49,"Dobermannsdorf","AT","ERR"
47.54,16.38,"Donnerskirchen","AT","NNN"
48.27,15.34,"Dross","AT","DRO"
48.23,15.31,"Durnstein","AT","DUE"
47.57,16.24,"Ebreichsdorf","AT","EBR"
46.41,15.5,"Eibiswald","AT","EWD"
48.27,15.45,"Engabrunn","AT","BRI"
48.27,15.53,"Engelmannsbrunn","AT","ERO"
48.21,14.27,"Engerwitzdorf","AT","DFC"
47.4,12.1,"Erl","AT","ERL"
48.2,15.54,"Erpersdorf","AT","EPD"
47.46,13.13,"Faistenau","AT","FSU"
48.43,13.35,"Falkenstein","AT","LKN"
46.56,16,"Fehring","AT","FHR"
47.09,11.21,"Fulpmes","AT","FPS"
46.43,15.33,"Gamlitz","AT","GA6"
47.55,13.48,"Gmunden","AT","GDN"
48.2,16.14,"Greifenstein","AT","GFS"
48.13,14.5,"Grein","AT","GRN"
48.24,16.37,"Gross-Schweinbarth","AT","SWH"
47.52,15.53,"Gutenstein","AT","GSN"
48.27,15.43,"Hadersdorf","AT","DOF"
48.27,15.43,"Hadersdorf-Kammern","AT","HKM"
48.02,15.46,"Hainfeld","AT","LTX"
48.42,16.04,"Haugsdorf","AT","GHH"
48.23,16.06,"Hausleiten","AT","ITN"
46.59,15.3,"Hausmannstatten","AT","TEN"
48.3,16.34,"Hobersbrunn","AT","BNN"
48.04,16.47,"Hoflein","AT","EIN"
48.19,15.4,"Inzersdorf an der Traisen","AT","ZIN"
48.47,15.34,"Japons","AT","JPS"
48.42,16.03,"Jetzelsdorf","AT","ZLF"
47.07,15.21,"Judendorf","AT","JDD"
47.24,14.54,"Kammern im Liesingtal","AT","KAM"
47.15,11.16,"Kematen in Tirol","AT","KTT"
48.39,16.39,"Ketzelsdorf","AT","ZRF"
47.12,14.49,"Knittelfeld","AT","KFD"
48.13,15.1,"Krummnussbaum","AT","KMB"
48.22,-154,"Krustetten","AT","GHJ"
48.18,16.21,"Langenzersdorf","AT","LZD"
48.29,13.53,"Lembach","AT","LUA"
46.4,15.28,"Leutschach","AT","LTS"
48.35,15.52,"Limberg","AT","IEG"
48.05,13.4,"Manning","AT","MAN"
48.13,15.09,"Marbach an der Donau","AT","MAB"
47.14,16.05,"Markt Allhau","AT","MKA"
48.11,14.42,"Mitterkirchen","AT","MKC"
47.45,16.4,"Morbisch am See","AT","MBS"
47.5,16.06,"Muthmannsdorf","AT","NT9"
48.29,15.53,"Neudegg","AT","NGG"
48.29,13.59,"Neufelden","AT","NFN"
48.03,14.51,"Neuhofen an der Ybbs","AT","NAD"
47.56,17.04,"Nickelsdorf","AT","ND2"
47.11,9.48,"Nuziders","AT","NUZ"
48.06,14.48,"Oehling","AT","XAE"
47.5,16.4,"Oggau","AT","GGU"
48.2,14.11,"Ottensheim","AT","OSH"
46.42,13.38,"Paternion","AT","ATK"
48.11,15.04,"Persenbeug","AT","PBU"
48.08,15.09,"Petzenkirchen","AT","PET"
47.51,16.5,"Podersdorf am See","AT","PAS"
48.12,15.31,"Prinzersdorf","AT","7PZ"
47.23,13.27,"Radstadt","AT","RAD"
48.14,13,"Ranshofen","AT","RHN"
47.17,11.03,"Rietz","AT","ETZ"
48.04,16.51,"Rohrau","AT","RHR"
48.24,15.3,"Ruhrsdorf","AT","RRF"
48.29,13.45,"Sankt Aegidi","AT","SAK"
47.59,12.53,"Sankt Georgen bei Salzburg","AT","SGS"
47.03,15.45,"Sankt Margarethen an der Raab","AT","SMR"
46.38,14.23,"Sankt Margrethen","AT","SK3"
46.55,15.15,"Sankt Stefan ob Stainz","AT","FBZ"
48.36,16.46,"Sankt Ulrich","AT","SUH"
48.28,14.09,"Sankt Veit im Muhlkreis","AT","SVM"
48.23,14.44,"Schonau im Muhlkreis","AT","SMK"
48.42,15.54,"Schrattenthal","AT","TTL"
47.51,16.37,"Schutzen am Gebirge","AT","SAG"
48.26,15.33,"Senftenberg","AT","SFT"
48.27,16.44,"Spannberg","AT","SPG"
48.22,15.25,"Spitz","AT","SPZ"
47.36,13.38,"Steeg","AT","STD"
47.29,16.29,"Steinberg","AT","SSS"
48.07,14.01,"Steinhaus","AT","SUS"
46.48,15.52,"Straden","AT","ST6"
47.08,13.48,"Tamsweg","AT","TAM"
48.25,13.32,"Taufkirchen an der Pram","AT","TKP"
47.19,11.39,"Terfens","AT","TFS"
48.23,15.41,"Theiss","AT","THS"
48.2,15.44,"Traismauer","AT","TMR"
46.37,14.03,"Velden","AT","VEL"
47.28,15,"Vordernberg","AT","ERM"
48.1,14.43,"Wallsee","AT","WSE"
48.06,15.31,"Weinburg","AT","WEU"
46.53,15.28,"Weitendorf","AT","WDF"
47.48,16.3,"Wulkaprodersdorf","AT","WUL"
48.29,15.41,"Zobing","AT","ZNG"
-21.2,115.1,"Airlie Terminal","AU","AIR"
-35.01,138.44,"Aldgate","AU","ALD"
-12.55,141.37,"Amrun","AU","AMR"
-33.53,151.1,"Annandale","AU","ANN"
-32.01,115.5,"Applecross","AU","APP"
-32.09,116,"Armadale","AU","AUA"
-33.47,150.52,"Arndell Park","AU","DLP"
-34.56,138.44,"Ashton","AU","ASH"
-38.02,145.06,"Aspendale","AU","P6D"
-32.01,115.47,"Attadale","AU","ATT"
-34.19,115.1,"Augusta","AU","AGS"
-33.17,115.43,"Australind","AU","ALI"
-32.24,150.29,"Baerami","AU","BAE"
-34.59,138.5,"Balhannah","AU","BAA"
-38.22,145.08,"Balnarring","AU","BAL"
-38.03,144.1,"Bannockburn","AU","BNN"
-34.16,146.06,"Beelbangera","AU","BBL"
-33.44,151.13,"Belrose","AU","BE9"
-35.18,138.56,"Belvidere","AU","BVD"
-32.48,151.39,"Beresfield","AU","BFD"
-33.21,151.26,"Berkeley Vale","AU","BKE"
-38.25,146.04,"Berrys Creek","AU","BRR"
-41.52,148.17,"Bicheno","AU","BIC"
-15.36,136.21,"Bing Bong","AU","BBG"
-11.09,132.09,"Black Point","AU","BLP"
-42.59,147.19,"Blackmans Bay","AU","TTS"
-33.32,149.15,"Blayney","AU","BNY"
-31.43,152.17,"Bobin","AU","BOB"
-34.51,150.37,"Bomaderry","AU","BDY"
-10.36,141.55,"Booby Island","AU","BOO"
-27.2,153.03,"Boondall","AU","BOD"
-36.07,143.43,"Boort","AU","BOT"
-34.42,143.09,"Boundary Bend","AU","BOU"
-42.5,147.18,"Boyer","AU","BOY"
-34.23,119.22,"Bremer Bay","AU","BBY"
-36.36,143.57,"Bridgewater-on-Loddon","AU","BOL"
-41,147.24,"Bridport","AU","BPO"
-33.57,151.09,"Brighton-Le-Sands","AU","BSA"
-32.45,151.06,"Broke","AU","NSB"
-34.18,150.55,"Bulli","AU","BUL"
-31.4,116,"Bullsbrook","AU","BLL"
-27.04,153.22,"Bulwer","AU","BWI"
-37.52,147.02,"Bushy Park","AU","BYY"
-42.5,147.27,"Cambridge","AU","CMB"
-33.53,151.1,"Camperdown","AU","CMP"
-27.31,153.11,"Capalaba","AU","CAP"
-11.19,131.45,"Cape Don","AU","DON"
-36.38,146.33,"Carboor","AU","CBO"
-27.3,153.05,"Carina Heights","AU","CAR"
-33.47,151.03,"Carlingford","AU","CLF"
-31.53,115.58,"Caversham","AU","CVS"
-27.23,153.1,"Chermside","AU","CHE"
-28.14,153.33,"Chinderah","AU","CN6"
-31.29,116.06,"Chittering","AU","CHT"
-33.5,138.36,"Clare","AU","SCL"
-31.59,115.47,"Claremont","AU","CLM"
-35.07,138.38,"Clarendon","AU","CDN"
-27.32,153.16,"Cleveland","AU","CVN"
-33.54,151.15,"Clovelly","AU","CVL"
-37.43,145.22,"Coldstream","AU","CST"
-34,151.04,"Como","AU","CMO"
-26.56,150.08,"Condamine","AU","CDE"
-26.33,153.05,"Coolum","AU","COU"
